#simulation: 0
%step	%pop	%debt	%gift	

1172	1700	407	0
1173	1695	397	0
1174	1698	407	0
1175	1695	401	0
1176	1688	408	0
1177	1690	392	0
1178	1683	402	0
1179	1682	389	0
1180	1680	387	0
1181	1667	372	0
1182	1669	393	0
1183	1662	391	0
1184	1671	380	0
1185	1677	374	0
1186	1686	393	0
1187	1683	409	0
1188	1681	366	0
1189	1678	375	0
1190	1679	399	0
1191	1686	399	0
1192	1687	399	0
1193	1686	403	0
1194	1685	401	0
1195	1688	414	0
1196	1685	408	0
1197	1690	395	0
1198	1694	393	0
1199	1698	393	0
1200	1700	382	0
1201	1704	399	0
1202	1710	401	0
1203	1719	399	0
1204	1724	404	0
1205	1728	394	0
1206	1725	419	0
1207	1727	415	0
1208	1731	398	0
1209	1735	393	0
1210	1742	392	0
1211	1749	383	0
1212	1763	377	0
1213	1771	384	0
1214	1779	391	0
1215	1776	408	0
1216	1784	382	0
1217	1787	380	0
1218	1790	398	0
1219	1787	367	0
1220	1789	379	0
1221	1792	403	0
1222	1785	383	0
1223	1782	412	0
1224	1788	391	0
1225	1789	375	0
1226	1793	407	0
1227	1802	410	0
1228	1807	389	0
1229	1791	382	0
1230	1790	377	0
1231	1788	395	0
1232	1781	373	0
1233	1780	394	0
1234	1784	386	0
1235	1788	389	0
1236	1787	431	0
1237	1790	399	0
1238	1792	421	0
1239	1786	444	0
1240	1778	409	0
1241	1767	407	0
1242	1768	427	0
1243	1770	409	0
1244	1769	386	0
1245	1779	449	0
1246	1779	424	0
1247	1771	449	0
1248	1767	419	0
1249	1767	414	0
1250	1762	409	0
1251	1758	439	0
1252	1761	433	0
1253	1760	427	0
1254	1757	456	0
1255	1748	417	0
1256	1745	423	0
1257	1757	422	0
1258	1754	432	0
1259	1751	421	0
1260	1760	457	0
1261	1752	435	0
1262	1755	427	0
1263	1755	441	0
1264	1757	472	0
1265	1758	459	0
1266	1761	464	0
1267	1767	462	0
1268	1774	443	0
1269	1780	449	0
1270	1781	448	0
1271	1772	475	0
1272	1776	483	0
1273	1778	471	0
1274	1777	487	0
1275	1760	454	0
1276	1767	473	0
1277	1777	469	0
1278	1773	456	0
1279	1765	442	0
1280	1766	463	0
1281	1764	471	0
1282	1758	455	0
1283	1739	436	0
1284	1740	434	0
1285	1749	427	0
1286	1743	420	0
1287	1747	457	0
1288	1744	456	0
1289	1751	432	0
